location_stand,position.lat,position.lng,banking,bike_stands,available_bike_stands,available_bikes,status,Time of Call
South Dock Road,53.341833,-6.231291,FALSE,30,0,30,OPEN,20-08-2019 04:32
City Quay,53.346637,-6.246154,FALSE,30,30,0,OPEN,20-08-2019 04:32
Exchequer Street,53.343034,-6.263578,FALSE,24,24,0,OPEN,20-08-2019 04:32
The Point,53.346867,-6.230852,FALSE,40,11,29,OPEN,20-08-2019 04:32
Hatch Street,53.33403,-6.260714,FALSE,36,36,0,OPEN,20-08-2019 04:32
Lime Street,53.346026,-6.243576,FALSE,40,39,1,OPEN,20-08-2019 04:32
Charlemont Street,53.330662,-6.260177,FALSE,40,13,27,OPEN,20-08-2019 04:32
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,2,38,OPEN,20-08-2019 04:32
Hardwicke Place,53.357043,-6.263232,TRUE,25,21,4,OPEN,20-08-2019 04:32
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,27,2,OPEN,20-08-2019 04:32
Francis Street,53.342081,-6.275233,FALSE,30,7,23,OPEN,20-08-2019 04:32
Greek Street,53.346874,-6.272976,FALSE,20,11,9,OPEN,20-08-2019 04:32
Guild Street,53.347932,-6.240928,FALSE,40,39,1,OPEN,20-08-2019 04:32
Herbert Place,53.334432,-6.245575,FALSE,30,30,0,OPEN,20-08-2019 04:32
High Street,53.343565,-6.275071,TRUE,29,29,0,OPEN,20-08-2019 04:32
North Circular Road,53.359624,-6.260348,FALSE,30,0,25,OPEN,20-08-2019 04:32
Western Way,53.354929,-6.269425,FALSE,40,36,4,OPEN,20-08-2019 04:32
Talbot Street,53.350974,-6.25294,FALSE,40,22,18,OPEN,20-08-2019 04:32
Newman House,53.337132,-6.26059,FALSE,40,40,0,OPEN,20-08-2019 04:32
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,40,0,OPEN,20-08-2019 04:32
New Central Bank,53.347122,-6.234749,FALSE,40,19,21,OPEN,20-08-2019 04:32
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,20-08-2019 04:32
King Street North,53.350291,-6.273507,FALSE,30,5,25,OPEN,20-08-2019 04:32
Killarney Street,53.354845,-6.247579,FALSE,30,2,28,OPEN,20-08-2019 04:32
Herbert Street,53.335742,-6.24551,FALSE,40,40,0,OPEN,20-08-2019 04:32
Custom House Quay,53.347884,-6.248048,FALSE,30,17,13,OPEN,20-08-2019 04:32
Molesworth Street,53.341288,-6.258117,FALSE,20,19,1,OPEN,20-08-2019 04:32
Georges Quay,53.347508,-6.252192,FALSE,20,18,2,OPEN,20-08-2019 04:32
Kilmainham Lane,53.341805,-6.305085,FALSE,30,6,24,OPEN,20-08-2019 04:32
Mount Brown,53.341645,-6.29719,FALSE,22,0,22,OPEN,20-08-2019 04:32
Market Street South,53.342296,-6.287661,FALSE,38,1,37,OPEN,20-08-2019 04:32
Kevin Street,53.337757,-6.267699,TRUE,40,35,4,OPEN,20-08-2019 04:32
Eccles Street East,53.358115,-6.265601,FALSE,27,27,0,OPEN,20-08-2019 04:32
Grand Canal Dock,53.342638,-6.238695,FALSE,40,39,1,OPEN,20-08-2019 04:32
Merrion Square East,53.339434,-6.246548,FALSE,30,30,0,OPEN,20-08-2019 04:32
York Street West,53.339334,-6.264699,FALSE,40,36,4,OPEN,20-08-2019 04:32
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,30,0,OPEN,20-08-2019 04:32
Denmark Street Great,53.35561,-6.261397,FALSE,20,20,0,OPEN,20-08-2019 04:32
Royal Hospital,53.343897,-6.29706,TRUE,40,1,39,OPEN,20-08-2019 04:32
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,0,40,OPEN,20-08-2019 04:32
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,28,8,OPEN,20-08-2019 04:32
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,40,0,OPEN,20-08-2019 04:32
Heuston Station (Central),53.346603,-6.296924,FALSE,40,0,40,OPEN,20-08-2019 04:32
Townsend Street,53.345922,-6.254614,FALSE,20,20,0,OPEN,20-08-2019 04:32
George's Lane,53.35023,-6.279696,FALSE,40,0,40,OPEN,20-08-2019 04:32
Phibsborough Road,53.356307,-6.273717,FALSE,40,21,19,OPEN,20-08-2019 04:32
Eccles Street,53.359246,-6.269779,FALSE,20,13,7,OPEN,20-08-2019 04:32
Portobello Harbour,53.330362,-6.265163,FALSE,30,3,27,OPEN,20-08-2019 04:32
Mater Hospital,53.359967,-6.264828,FALSE,40,13,27,OPEN,20-08-2019 04:32
Blessington Street,53.356769,-6.26814,TRUE,20,11,9,OPEN,20-08-2019 04:32
James Street,53.343456,-6.287409,TRUE,40,20,20,OPEN,20-08-2019 04:32
Mountjoy Square East,53.356717,-6.256359,TRUE,40,2,38,OPEN,20-08-2019 04:32
Merrion Square West,53.339764,-6.251988,TRUE,20,20,0,OPEN,20-08-2019 04:32
Convention Centre,53.34744,-6.238523,TRUE,40,40,0,OPEN,20-08-2019 04:32
Hardwicke Street,53.355473,-6.264423,FALSE,16,8,8,OPEN,20-08-2019 04:32
Parkgate Street,53.347972,-6.291804,TRUE,38,0,38,OPEN,20-08-2019 04:32
Smithfield,53.347692,-6.278214,FALSE,30,0,0,CLOSED,20-08-2019 04:32
Dame Street,53.344007,-6.266802,TRUE,16,16,0,OPEN,20-08-2019 04:32
Heuston Bridge (South),53.347106,-6.292041,FALSE,25,0,25,OPEN,20-08-2019 04:32
Cathal Brugha Street,53.352149,-6.260533,FALSE,20,20,0,OPEN,20-08-2019 04:32
Sandwith Street,53.345203,-6.247163,TRUE,40,19,21,OPEN,20-08-2019 04:32
Buckingham Street Lower,53.353331,-6.249319,FALSE,29,6,23,OPEN,20-08-2019 04:32
Rothe Abbey,53.338776,-6.30395,TRUE,35,0,35,OPEN,20-08-2019 04:32
Charleville Road,53.359157,-6.281866,TRUE,40,17,23,OPEN,20-08-2019 04:32
Princes Street / O'Connell Street,53.349013,-6.260311,TRUE,23,23,0,OPEN,20-08-2019 04:32
Upper Sherrard Street,53.358437,-6.260641,FALSE,30,0,30,OPEN,20-08-2019 04:32
Fitzwilliam Square East,53.335211,-6.2509,TRUE,40,40,0,OPEN,20-08-2019 04:32
Grattan Street,53.339629,-6.243778,FALSE,23,22,1,OPEN,20-08-2019 04:32
St James Hospital (Luas),53.341359,-6.292951,FALSE,40,34,6,OPEN,20-08-2019 04:32
Harcourt Terrace,53.332763,-6.257942,FALSE,20,20,0,OPEN,20-08-2019 04:32
Bolton Street,53.351182,-6.269859,FALSE,20,17,3,OPEN,20-08-2019 04:32
Jervis Street,53.3483,-6.266651,TRUE,21,19,2,OPEN,20-08-2019 04:32
Ormond Quay Upper,53.346057,-6.268001,TRUE,29,29,0,OPEN,20-08-2019 04:32
Grangegorman Lower (South),53.354663,-6.278681,FALSE,40,40,0,OPEN,20-08-2019 04:32
Mountjoy Square West,53.356299,-6.258586,FALSE,30,0,30,OPEN,20-08-2019 04:32
Wilton Terrace,53.332383,-6.252717,TRUE,20,16,4,OPEN,20-08-2019 04:32
Emmet Road,53.340714,-6.308191,FALSE,40,0,40,OPEN,20-08-2019 04:32
Heuston Bridge (North),53.347802,-6.292432,FALSE,40,0,40,OPEN,20-08-2019 04:32
Leinster Street South,53.34218,-6.254485,FALSE,30,30,0,OPEN,20-08-2019 04:32
Blackhall Place,53.3488,-6.281637,FALSE,30,0,30,OPEN,20-08-2019 04:32
Smithfield North,53.349562,-6.278198,TRUE,30,5,25,OPEN,20-08-2019 06:34
Parnell Square North,53.353462,-6.265305,TRUE,20,19,1,OPEN,20-08-2019 06:34
Clonmel Street,53.336021,-6.26298,FALSE,33,30,3,OPEN,20-08-2019 06:34
Avondale Road,53.359405,-6.276142,FALSE,40,38,2,OPEN,20-08-2019 06:34
Mount Street Lower,53.33796,-6.24153,FALSE,40,36,4,OPEN,20-08-2019 06:34
Christchurch Place,53.343368,-6.27012,FALSE,20,20,0,OPEN,20-08-2019 06:34
Grantham Street,53.334123,-6.265436,TRUE,30,13,17,OPEN,20-08-2019 06:34
Pearse Street,53.344304,-6.250427,TRUE,30,24,6,OPEN,20-08-2019 06:34
York Street East,53.338755,-6.262003,FALSE,32,25,7,OPEN,20-08-2019 06:34
Excise Walk,53.347777,-6.244239,FALSE,40,34,6,OPEN,20-08-2019 06:34
Fitzwilliam Square West,53.336074,-6.252825,FALSE,30,29,1,OPEN,20-08-2019 06:34
Portobello Road,53.330091,-6.268044,TRUE,30,11,19,OPEN,20-08-2019 06:34
St. James Hospital (Central),53.339983,-6.295594,FALSE,40,15,25,OPEN,20-08-2019 06:34
Parnell Street,53.350929,-6.265125,FALSE,20,18,2,OPEN,20-08-2019 06:34
Frederick Street South,53.341515,-6.256853,TRUE,40,39,1,OPEN,20-08-2019 06:34
Fownes Street Upper,53.344603,-6.263371,FALSE,30,27,3,OPEN,20-08-2019 06:34
Custom House,53.348279,-6.254662,TRUE,30,25,5,OPEN,20-08-2019 06:34
Rathdown Road,53.35893,-6.280337,FALSE,40,36,4,OPEN,20-08-2019 06:34
North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,30,7,23,OPEN,20-08-2019 06:34
Hanover Quay,53.344115,-6.237153,TRUE,40,35,5,OPEN,20-08-2019 06:34
Oliver Bond Street,53.343893,-6.280531,FALSE,30,2,28,OPEN,20-08-2019 06:34
Collins Barracks Museum,53.347477,-6.28525,TRUE,38,3,35,OPEN,20-08-2019 06:34
Brookfield Road,53.339005,-6.300217,FALSE,30,5,25,OPEN,20-08-2019 06:34
Benson Street,53.344153,-6.233451,FALSE,40,31,9,OPEN,20-08-2019 06:34
Earlsfort Terrace,53.334019,-6.258371,FALSE,30,28,2,OPEN,20-08-2019 06:34
Golden Lane,53.340803,-6.267732,FALSE,20,14,6,OPEN,20-08-2019 06:34
Deverell Place,53.351464,-6.255265,FALSE,30,14,16,OPEN,20-08-2019 06:34
Wilton Terrace (Park),53.333653,-6.248345,TRUE,40,36,4,OPEN,20-08-2019 06:34
John Street West,53.343105,-6.277167,FALSE,31,15,16,OPEN,20-08-2019 06:34
Fenian Street,53.341428,-6.24672,FALSE,35,34,1,OPEN,20-08-2019 06:34
Merrion Square South,53.338614,-6.248606,TRUE,40,39,1,OPEN,20-08-2019 06:34
South Dock Road,53.341833,-6.231291,FALSE,30,18,12,OPEN,20-08-2019 06:34
City Quay,53.346637,-6.246154,FALSE,30,27,3,OPEN,20-08-2019 06:34
Exchequer Street,53.343034,-6.263578,FALSE,24,19,5,OPEN,20-08-2019 06:34
The Point,53.346867,-6.230852,FALSE,40,30,10,OPEN,20-08-2019 06:34
Hatch Street,53.33403,-6.260714,FALSE,36,33,3,OPEN,20-08-2019 06:34
Lime Street,53.346026,-6.243576,FALSE,40,35,5,OPEN,20-08-2019 06:34
Charlemont Street,53.330662,-6.260177,FALSE,40,9,31,OPEN,20-08-2019 06:34
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,10,30,OPEN,20-08-2019 06:34
Hardwicke Place,53.357043,-6.263232,TRUE,25,6,19,OPEN,20-08-2019 06:34
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,27,2,OPEN,20-08-2019 06:34
Francis Street,53.342081,-6.275233,FALSE,30,18,12,OPEN,20-08-2019 06:34
Greek Street,53.346874,-6.272976,FALSE,20,14,6,OPEN,20-08-2019 06:34
Guild Street,53.347932,-6.240928,FALSE,40,40,0,OPEN,20-08-2019 06:34
Herbert Place,53.334432,-6.245575,FALSE,30,23,7,OPEN,20-08-2019 06:34
High Street,53.343565,-6.275071,TRUE,29,29,0,OPEN,20-08-2019 06:34
North Circular Road,53.359624,-6.260348,FALSE,30,15,10,OPEN,20-08-2019 06:34
Western Way,53.354929,-6.269425,FALSE,40,19,21,OPEN,20-08-2019 06:34
Talbot Street,53.350974,-6.25294,FALSE,40,20,20,OPEN,20-08-2019 06:34
Newman House,53.337132,-6.26059,FALSE,40,40,0,OPEN,20-08-2019 06:34
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,32,8,OPEN,20-08-2019 06:34
New Central Bank,53.347122,-6.234749,FALSE,40,33,7,OPEN,20-08-2019 06:34
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,20-08-2019 06:34
King Street North,53.350291,-6.273507,FALSE,30,14,16,OPEN,20-08-2019 06:34
Killarney Street,53.354845,-6.247579,FALSE,30,3,27,OPEN,20-08-2019 06:34
Herbert Street,53.335742,-6.24551,FALSE,40,39,1,OPEN,20-08-2019 06:34
Custom House Quay,53.347884,-6.248048,FALSE,30,25,5,OPEN,20-08-2019 06:34
Molesworth Street,53.341288,-6.258117,FALSE,20,14,6,OPEN,20-08-2019 06:34
Georges Quay,53.347508,-6.252192,FALSE,20,15,5,OPEN,20-08-2019 06:34
Kilmainham Lane,53.341805,-6.305085,FALSE,30,7,23,OPEN,20-08-2019 06:34
Mount Brown,53.341645,-6.29719,FALSE,22,1,21,OPEN,20-08-2019 06:34
Market Street South,53.342296,-6.287661,FALSE,38,7,31,OPEN,20-08-2019 06:34
Kevin Street,53.337757,-6.267699,TRUE,40,36,3,OPEN,20-08-2019 06:34
Eccles Street East,53.358115,-6.265601,FALSE,27,21,6,OPEN,20-08-2019 06:34
Grand Canal Dock,53.342638,-6.238695,FALSE,40,26,14,OPEN,20-08-2019 06:34
Merrion Square East,53.339434,-6.246548,FALSE,30,30,0,OPEN,20-08-2019 06:34
York Street West,53.339334,-6.264699,FALSE,40,35,5,OPEN,20-08-2019 06:34
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,30,0,OPEN,20-08-2019 06:34
Denmark Street Great,53.35561,-6.261397,FALSE,20,20,0,OPEN,20-08-2019 06:34
Royal Hospital,53.343897,-6.29706,TRUE,40,3,37,OPEN,20-08-2019 06:34
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,1,39,OPEN,20-08-2019 06:34
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,29,7,OPEN,20-08-2019 06:34
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,36,4,OPEN,20-08-2019 06:34
Heuston Station (Central),53.346603,-6.296924,FALSE,40,0,40,OPEN,20-08-2019 06:34
Townsend Street,53.345922,-6.254614,FALSE,20,20,0,OPEN,20-08-2019 06:34
George's Lane,53.35023,-6.279696,FALSE,40,1,39,OPEN,20-08-2019 06:34
Phibsborough Road,53.356307,-6.273717,FALSE,40,22,18,OPEN,20-08-2019 06:34
Eccles Street,53.359246,-6.269779,FALSE,20,9,11,OPEN,20-08-2019 06:34
Portobello Harbour,53.330362,-6.265163,FALSE,30,14,16,OPEN,20-08-2019 06:34
Mater Hospital,53.359967,-6.264828,FALSE,40,14,26,OPEN,20-08-2019 06:34
Blessington Street,53.356769,-6.26814,TRUE,20,20,0,OPEN,20-08-2019 06:34
James Street,53.343456,-6.287409,TRUE,40,22,18,OPEN,20-08-2019 06:34
Mountjoy Square East,53.356717,-6.256359,TRUE,40,11,29,OPEN,20-08-2019 06:34
Merrion Square West,53.339764,-6.251988,TRUE,20,18,2,OPEN,20-08-2019 06:34
Convention Centre,53.34744,-6.238523,TRUE,40,40,0,OPEN,20-08-2019 06:34
Hardwicke Street,53.355473,-6.264423,FALSE,16,10,6,OPEN,20-08-2019 06:34
Parkgate Street,53.347972,-6.291804,TRUE,38,1,37,OPEN,20-08-2019 06:34
Smithfield,53.347692,-6.278214,FALSE,30,0,0,CLOSED,20-08-2019 06:34
Dame Street,53.344007,-6.266802,TRUE,16,13,3,OPEN,20-08-2019 06:34
Heuston Bridge (South),53.347106,-6.292041,FALSE,25,0,25,OPEN,20-08-2019 06:34
Cathal Brugha Street,53.352149,-6.260533,FALSE,20,18,2,OPEN,20-08-2019 06:34
Sandwith Street,53.345203,-6.247163,TRUE,40,35,5,OPEN,20-08-2019 06:34
Buckingham Street Lower,53.353331,-6.249319,FALSE,29,10,19,OPEN,20-08-2019 06:34
Rothe Abbey,53.338776,-6.30395,TRUE,35,2,33,OPEN,20-08-2019 06:34
Charleville Road,53.359157,-6.281866,TRUE,40,25,15,OPEN,20-08-2019 06:34
Princes Street / O'Connell Street,53.349013,-6.260311,TRUE,23,21,2,OPEN,20-08-2019 06:34
Upper Sherrard Street,53.358437,-6.260641,FALSE,30,13,17,OPEN,20-08-2019 06:34
Fitzwilliam Square East,53.335211,-6.2509,TRUE,40,38,2,OPEN,20-08-2019 06:34
Grattan Street,53.339629,-6.243778,FALSE,23,21,2,OPEN,20-08-2019 06:34
St James Hospital (Luas),53.341359,-6.292951,FALSE,40,37,3,OPEN,20-08-2019 06:34
Harcourt Terrace,53.332763,-6.257942,FALSE,20,19,1,OPEN,20-08-2019 06:34
Bolton Street,53.351182,-6.269859,FALSE,20,20,0,OPEN,20-08-2019 06:34
Jervis Street,53.3483,-6.266651,TRUE,21,13,8,OPEN,20-08-2019 06:34
Ormond Quay Upper,53.346057,-6.268001,TRUE,29,25,4,OPEN,20-08-2019 06:34
Grangegorman Lower (South),53.354663,-6.278681,FALSE,40,40,0,OPEN,20-08-2019 06:34
Mountjoy Square West,53.356299,-6.258586,FALSE,30,8,22,OPEN,20-08-2019 06:34
Wilton Terrace,53.332383,-6.252717,TRUE,20,16,4,OPEN,20-08-2019 06:34
Emmet Road,53.340714,-6.308191,FALSE,40,3,37,OPEN,20-08-2019 06:34
Heuston Bridge (North),53.347802,-6.292432,FALSE,40,1,39,OPEN,20-08-2019 06:34
Leinster Street South,53.34218,-6.254485,FALSE,30,28,2,OPEN,20-08-2019 06:34
Blackhall Place,53.3488,-6.281637,FALSE,30,4,26,OPEN,20-08-2019 06:34
Smithfield North,53.349562,-6.278198,TRUE,30,8,22,OPEN,20-08-2019 07:32
Parnell Square North,53.353462,-6.265305,TRUE,20,17,3,OPEN,20-08-2019 07:32
Clonmel Street,53.336021,-6.26298,FALSE,33,29,4,OPEN,20-08-2019 07:32
Avondale Road,53.359405,-6.276142,FALSE,40,38,2,OPEN,20-08-2019 07:32
Mount Street Lower,53.33796,-6.24153,FALSE,40,35,5,OPEN,20-08-2019 07:32
Christchurch Place,53.343368,-6.27012,FALSE,20,20,0,OPEN,20-08-2019 07:32
Grantham Street,53.334123,-6.265436,TRUE,30,15,15,OPEN,20-08-2019 07:32
Pearse Street,53.344304,-6.250427,TRUE,30,21,9,OPEN,20-08-2019 07:32
York Street East,53.338755,-6.262003,FALSE,32,25,7,OPEN,20-08-2019 07:32
Excise Walk,53.347777,-6.244239,FALSE,40,34,6,OPEN,20-08-2019 07:32
Fitzwilliam Square West,53.336074,-6.252825,FALSE,30,23,7,OPEN,20-08-2019 07:32
Portobello Road,53.330091,-6.268044,TRUE,30,30,0,OPEN,20-08-2019 07:32
St. James Hospital (Central),53.339983,-6.295594,FALSE,40,15,25,OPEN,20-08-2019 07:32
Parnell Street,53.350929,-6.265125,FALSE,20,20,0,OPEN,20-08-2019 07:32
Frederick Street South,53.341515,-6.256853,TRUE,40,38,2,OPEN,20-08-2019 07:32
Fownes Street Upper,53.344603,-6.263371,FALSE,30,20,10,OPEN,20-08-2019 07:32
Custom House,53.348279,-6.254662,TRUE,30,24,6,OPEN,20-08-2019 07:32
Rathdown Road,53.35893,-6.280337,FALSE,40,40,0,OPEN,20-08-2019 07:32
North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,30,30,0,OPEN,20-08-2019 07:32
Hanover Quay,53.344115,-6.237153,TRUE,40,38,2,OPEN,20-08-2019 07:32
Oliver Bond Street,53.343893,-6.280531,FALSE,30,2,28,OPEN,20-08-2019 07:32
Collins Barracks Museum,53.347477,-6.28525,TRUE,38,10,28,OPEN,20-08-2019 07:32
Brookfield Road,53.339005,-6.300217,FALSE,30,11,19,OPEN,20-08-2019 07:32
Benson Street,53.344153,-6.233451,FALSE,40,26,14,OPEN,20-08-2019 07:32
Earlsfort Terrace,53.334019,-6.258371,FALSE,30,21,9,OPEN,20-08-2019 07:32
Golden Lane,53.340803,-6.267732,FALSE,20,14,6,OPEN,20-08-2019 07:32
Deverell Place,53.351464,-6.255265,FALSE,30,15,15,OPEN,20-08-2019 07:32
Wilton Terrace (Park),53.333653,-6.248345,TRUE,40,27,13,OPEN,20-08-2019 07:32
John Street West,53.343105,-6.277167,FALSE,31,25,6,OPEN,20-08-2019 07:32
Fenian Street,53.341428,-6.24672,FALSE,35,30,5,OPEN,20-08-2019 07:32
Merrion Square South,53.338614,-6.248606,TRUE,40,38,2,OPEN,20-08-2019 07:32
South Dock Road,53.341833,-6.231291,FALSE,30,17,13,OPEN,20-08-2019 07:32
City Quay,53.346637,-6.246154,FALSE,30,23,7,OPEN,20-08-2019 07:32
Exchequer Street,53.343034,-6.263578,FALSE,24,7,17,OPEN,20-08-2019 07:32
The Point,53.346867,-6.230852,FALSE,40,27,13,OPEN,20-08-2019 07:32
Hatch Street,53.33403,-6.260714,FALSE,36,27,9,OPEN,20-08-2019 07:32
Lime Street,53.346026,-6.243576,FALSE,40,28,12,OPEN,20-08-2019 07:32
Charlemont Street,53.330662,-6.260177,FALSE,40,7,33,OPEN,20-08-2019 07:32
Kilmainham Gaol,53.342113,-6.310015,TRUE,40,24,16,OPEN,20-08-2019 07:32
Hardwicke Place,53.357043,-6.263232,TRUE,25,9,16,OPEN,20-08-2019 07:32
Wolfe Tone Street,53.348875,-6.267459,FALSE,29,28,1,OPEN,20-08-2019 07:32
Francis Street,53.342081,-6.275233,FALSE,30,30,0,OPEN,20-08-2019 07:32
Greek Street,53.346874,-6.272976,FALSE,20,13,7,OPEN,20-08-2019 07:32
Guild Street,53.347932,-6.240928,FALSE,40,29,11,OPEN,20-08-2019 07:32
Herbert Place,53.334432,-6.245575,FALSE,30,13,17,OPEN,20-08-2019 07:32
High Street,53.343565,-6.275071,TRUE,29,18,11,OPEN,20-08-2019 07:32
North Circular Road,53.359624,-6.260348,FALSE,30,8,17,OPEN,20-08-2019 07:32
Western Way,53.354929,-6.269425,FALSE,40,26,14,OPEN,20-08-2019 07:32
Talbot Street,53.350974,-6.25294,FALSE,40,23,17,OPEN,20-08-2019 07:32
Newman House,53.337132,-6.26059,FALSE,40,36,4,OPEN,20-08-2019 07:32
Sir Patrick's Dun,53.339218,-6.240642,TRUE,40,20,20,OPEN,20-08-2019 07:32
New Central Bank,53.347122,-6.234749,FALSE,40,17,23,OPEN,20-08-2019 07:32
Grangegorman Lower (Central),53.355173,-6.278424,TRUE,40,40,0,OPEN,20-08-2019 07:32
King Street North,53.350291,-6.273507,FALSE,30,26,4,OPEN,20-08-2019 07:32
Killarney Street,53.354845,-6.247579,FALSE,30,14,16,OPEN,20-08-2019 07:32
Herbert Street,53.335742,-6.24551,FALSE,40,38,2,OPEN,20-08-2019 07:32
Custom House Quay,53.347884,-6.248048,FALSE,30,22,8,OPEN,20-08-2019 07:32
Molesworth Street,53.341288,-6.258117,FALSE,20,3,17,OPEN,20-08-2019 07:32
Georges Quay,53.347508,-6.252192,FALSE,20,8,12,OPEN,20-08-2019 07:32
Kilmainham Lane,53.341805,-6.305085,FALSE,30,13,17,OPEN,20-08-2019 07:32
Mount Brown,53.341645,-6.29719,FALSE,22,3,19,OPEN,20-08-2019 07:32
Market Street South,53.342296,-6.287661,FALSE,38,18,20,OPEN,20-08-2019 07:32
Kevin Street,53.337757,-6.267699,TRUE,40,35,4,OPEN,20-08-2019 07:32
Eccles Street East,53.358115,-6.265601,FALSE,27,21,6,OPEN,20-08-2019 07:32
Grand Canal Dock,53.342638,-6.238695,FALSE,40,27,13,OPEN,20-08-2019 07:32
Merrion Square East,53.339434,-6.246548,FALSE,30,24,6,OPEN,20-08-2019 07:32
York Street West,53.339334,-6.264699,FALSE,40,33,7,OPEN,20-08-2019 07:32
St. Stephen's Green South,53.337494,-6.26199,TRUE,30,30,0,OPEN,20-08-2019 07:32
Denmark Street Great,53.35561,-6.261397,FALSE,20,19,1,OPEN,20-08-2019 07:32
Royal Hospital,53.343897,-6.29706,TRUE,40,16,24,OPEN,20-08-2019 07:32
Heuston Station (Car Park),53.346985,-6.297804,FALSE,40,2,38,OPEN,20-08-2019 07:32
Grangegorman Lower (North),53.355954,-6.278378,FALSE,36,28,8,OPEN,20-08-2019 07:32
St. Stephen's Green East,53.337824,-6.256035,TRUE,40,38,2,OPEN,20-08-2019 07:32
Heuston Station (Central),53.346603,-6.296924,FALSE,40,7,33,OPEN,20-08-2019 07:32
Townsend Street,53.345922,-6.254614,FALSE,20,16,4,OPEN,20-08-2019 07:32
George's Lane,53.35023,-6.279696,FALSE,40,9,31,OPEN,20-08-2019 07:32
Phibsborough Road,53.356307,-6.273717,FALSE,40,25,15,OPEN,20-08-2019 07:32
Eccles Street,53.359246,-6.269779,FALSE,20,14,6,OPEN,20-08-2019 07:32
Portobello Harbour,53.330362,-6.265163,FALSE,30,19,11,OPEN,20-08-2019 07:32
Mater Hospital,53.359967,-6.264828,FALSE,40,15,25,OPEN,20-08-2019 07:32
Blessington Street,53.356769,-6.26814,TRUE,20,20,0,OPEN,20-08-2019 07:32
James Street,53.343456,-6.287409,TRUE,40,26,14,OPEN,20-08-2019 07:32
Mountjoy Square East,53.356717,-6.256359,TRUE,40,21,19,OPEN,20-08-2019 07:32
Merrion Square West,53.339764,-6.251988,TRUE,20,17,3,OPEN,20-08-2019 07:32
Convention Centre,53.34744,-6.238523,TRUE,40,39,1,OPEN,20-08-2019 07:32
Hardwicke Street,53.355473,-6.264423,FALSE,16,16,0,OPEN,20-08-2019 07:32
Parkgate Street,53.347972,-6.291804,TRUE,38,7,31,OPEN,20-08-2019 07:32
Smithfield,53.347692,-6.278214,FALSE,30,0,0,CLOSED,20-08-2019 07:32
Dame Street,53.344007,-6.266802,TRUE,16,13,3,OPEN,20-08-2019 07:32
Heuston Bridge (South),53.347106,-6.292041,FALSE,25,6,19,OPEN,20-08-2019 07:32
Cathal Brugha Street,53.352149,-6.260533,FALSE,20,15,5,OPEN,20-08-2019 07:32
Sandwith Street,53.345203,-6.247163,TRUE,40,34,6,OPEN,20-08-2019 07:32
Buckingham Street Lower,53.353331,-6.249319,FALSE,29,15,14,OPEN,20-08-2019 07:32
Rothe Abbey,53.338776,-6.30395,TRUE,35,12,23,OPEN,20-08-2019 07:32
Charleville Road,53.359157,-6.281866,TRUE,40,33,7,OPEN,20-08-2019 07:32
Princes Street / O'Connell Street,53.349013,-6.260311,TRUE,23,15,8,OPEN,20-08-2019 07:32
Upper Sherrard Street,53.358437,-6.260641,FALSE,30,26,4,OPEN,20-08-2019 07:32
Fitzwilliam Square East,53.335211,-6.2509,TRUE,40,32,8,OPEN,20-08-2019 07:32
Grattan Street,53.339629,-6.243778,FALSE,23,23,0,OPEN,20-08-2019 07:32
St James Hospital (Luas),53.341359,-6.292951,FALSE,40,38,2,OPEN,20-08-2019 07:32
Harcourt Terrace,53.332763,-6.257942,FALSE,20,17,3,OPEN,20-08-2019 07:32
Bolton Street,53.351182,-6.269859,FALSE,20,20,0,OPEN,20-08-2019 07:32
Jervis Street,53.3483,-6.266651,TRUE,21,0,21,OPEN,20-08-2019 07:32
Ormond Quay Upper,53.346057,-6.268001,TRUE,29,28,1,OPEN,20-08-2019 07:32
Grangegorman Lower (South),53.354663,-6.278681,FALSE,40,38,2,OPEN,20-08-2019 07:32
Mountjoy Square West,53.356299,-6.258586,FALSE,30,16,14,OPEN,20-08-2019 07:32
Wilton Terrace,53.332383,-6.252717,TRUE,20,17,3,OPEN,20-08-2019 07:32
Emmet Road,53.340714,-6.308191,FALSE,40,8,32,OPEN,20-08-2019 07:32
Heuston Bridge (North),53.347802,-6.292432,FALSE,40,8,32,OPEN,20-08-2019 07:32
Leinster Street South,53.34218,-6.254485,FALSE,30,28,2,OPEN,20-08-2019 07:32
